t;s1;s2;s3;phi;ins;
1603541228.8081045;372.0;68.1;44.9;328.396657827708;1024;1024;
1603541229.032798;388.8;68.0;45.0;326.5673298034146;1024;1024;
1603541229.2573814;385.5;68.8;43.8;323.6938444610853;1024;1024;
1603541229.4965;1;72.4;43.2;324.6142274585112;1024;1024;
1603541229.7220838;426.3;73.1;40.7;322.2435798010875;1024;1024;
1603541229.947025;376.2;76.9;36.6;317.8253701655809;1024;1024;
1603541230.1734195;335.2;76.3;33.0;313.9983876194712;1024;1024;
1603541230.398511;324.2;78.3;31.1;311.418489147442;1024;1024;
1603541230.6239896;332.4;80.4;29.1;309.6396796890109;1024;1024;
1603541230.850809;305.5;83.2;27.6;308.09616727532614;1024;1024;
1603541231.0768392;300.3;84.1;26.7;305.24540165730923;1024;1024;
1603541231.3018858;122.7;87.2;24.5;301.5950181701577;1024;1024;
1603541231.5274343;113.6;87.1;22.8;298.0301720871098;0;0;
1603541231.7544162;106.4;88.4;21.6;295.593756654235;-1024;1024;
1603541231.9798155;105.0;90.9;20.0;294.99899709969856;-1024;1024;
1603541232.2058885;268.7;89.1;19.3;297.53856741187843;-1024;1024;
1603541232.4314349;271.8;92.7;19.3;277.8039316560055;0;0;
1603541232.6452436;97.8;123.5;119.4;256.59722969527064;0;0;
1603541232.8598242;98.6;100.6;164.4;250.20751965236698;1024;1024;
1603541233.0732026;98.2;122.3;144.9;246.51689042989784;1024;1024;
1603541233.28621;97.0;99.8;309.5;245.5809494103321;1024;1024;
1603541233.4881852;309.4;125.8;269.0;249.47204958304445;1024;1024;
1603541233.688808;312.0;126.6;296.2;248.85509159806966;1024;1024;
1603541233.889351;291.1;126.7;355.2;246.15402017717088;1024;1024;
1603541234.0902038;288.2;127.3;293.3;246.08244179540424;1024;1024;
1603541234.2913823;282.9;127.3;269.8;244.78131116227604;1024;1024;
1603541234.4921198;274.2;130.2;351.7;242.30374935291138;1024;1024;
1603541234.6933014;271.7;131.2;271.1;240.10420714110444;1024;1024;
1603541234.89516;260.9;135.1;254.5;240.08025363590306;1024;1024;
1603541235.09725;256.3;137.0;283.0;238.47760985223294;1024;1024;
1603541235.311616;252.5;142.2;85.6;234.13432152455658;1024;1024;
1603541235.5247867;244.4;142.6;92.0;234.29205470452956;1024;1024;
1603541235.737895;234.0;150.0;95.4;234.93183498763688;1024;1024;
1603541235.9506836;224.5;141.0;100.8;235.66425423993536;1024;1024;
1603541236.152502;218.6;155.1;106.4;234.06955985315744;1024;1024;
1603541236.3535209;212.6;165.6;111.5;233.65793727367424;1024;1024;
1603541236.5552123;205.1;173.4;114.5;235.2346770125908;1024;1024;
